dataset,components,model,variance_retained,accuracy,balanced_accuracy,macro_f1,auc,mean_preservation_score,mean_response_ratio,mean_response_distortion,compression_viability_score
breastmnist,4,logistic_regression,0.5985615849494934,0.75,0.75,0.7496807151979565,0.7749433106575965,0.4300222629754809,0.5946993911884353,0.09569612081342037,0.6387830161870827
breastmnist,8,logistic_regression,0.736713171005249,0.7142857142857143,0.7142857142857143,0.7128205128205127,0.7834467120181405,0.40943144610258386,0.9096263523284454,0.11246898603727466,0.6247058791364283
breastmnist,16,logistic_regression,0.8352855443954468,0.7380952380952381,0.7380952380952381,0.7375,0.8117913832199546,0.41933456094779475,0.8885766792279658,0.12046352505497765,0.6520372560572164
breastmnist,32,logistic_regression,0.9046312570571899,0.7023809523809523,0.7023809523809523,0.7020008514261388,0.8010204081632653,0.5192793715220533,0.8129530467304132,0.10526224981836547,0.667580483352203
breastmnist,64,logistic_regression,0.9549993872642517,0.6547619047619048,0.6547619047619048,0.653534347887925,0.7681405895691611,0.6767472974367164,0.7220797667267674,0.06889687982816414,0.6910743815960879
pathmnist,4,logistic_regression,0.6215197443962097,0.4777777777777778,0.47777777777777775,0.4634360462372735,0.8625771604938273,0.3577473768603752,0.2806732675183361,0.2009970591541289,0.4525574212792741
pathmnist,8,logistic_regression,0.6704623103141785,0.4777777777777778,0.47777777777777775,0.4645562188256329,0.865570987654321,0.41640224009752713,0.4046006151821087,0.16502503407653513,0.47532817998930643
pathmnist,16,logistic_regression,0.7219322323799133,0.48148148148148145,0.48148148148148145,0.47788172475844626,0.8484413580246914,0.46004167533899026,0.4063845934532564,0.15179277682047868,0.49819467554781843
pathmnist,32,logistic_regression,0.7814341187477112,0.5037037037037037,0.5037037037037037,0.49260800538613264,0.8576543209876544,0.49861733650723133,0.5230733810581613,0.16324605421437036,0.52717691046977
pathmnist,64,logistic_regression,0.8475614190101624,0.44814814814814813,0.44814814814814813,0.43091328435628223,0.838858024691358,0.602405883863164,0.5856855544721741,0.14149616948026486,0.5300580800008878
pneumoniamnist,4,logistic_regression,0.5821903347969055,0.8444444444444444,0.8444444444444444,0.844307759898951,0.9228532235939644,0.47875820258928337,2.0021984506025743,0.08270142441728674,0.7084789897867688
pneumoniamnist,8,logistic_regression,0.7194257378578186,0.8148148148148148,0.8148148148148149,0.8133399701343953,0.89519890260631,0.6006006359787583,2.407823894929384,0.0705237143877316,0.7406429422981934
pneumoniamnist,16,logistic_regression,0.8325767517089844,0.8,0.8,0.7959583519928348,0.9115500685871056,0.48079311138911734,3.49790124762916,0.1229666280214959,0.7064851965858423
pneumoniamnist,32,logistic_regression,0.9048988819122314,0.8,0.8,0.7963800904977376,0.9075445816186557,0.5902421382328499,1.2382103767749333,0.05406472624594049,0.7466575522855124
pneumoniamnist,64,logistic_regression,0.9486605525016785,0.8074074074074075,0.8074074074074074,0.8035154500671742,0.8977229080932785,0.7300377351302408,1.6152011483125646,0.03844297542779533,0.7973488308986263
