repeat,accuracy,balanced_accuracy,macro_f1,auc
0,0.5166666666666667,0.5166666666666667,0.5079185520361991,0.5947222222222223
1,0.6916666666666667,0.6916666666666667,0.6914738378153013,0.7347222222222222
2,0.7166666666666667,0.7166666666666666,0.7165879410947485,0.7772222222222223
3,0.4666666666666667,0.4666666666666667,0.4612794612794613,0.495
4,0.5416666666666666,0.5416666666666666,0.5343915343915344,0.6036111111111111
5,0.425,0.425,0.42174732872407295,0.3719444444444444
6,0.49166666666666664,0.4916666666666667,0.4916313632891173,0.5186111111111111
7,0.38333333333333336,0.3833333333333333,0.38316198944151153,0.34055555555555556
8,0.7083333333333334,0.7083333333333334,0.697210006488357,0.7952777777777778
9,0.26666666666666666,0.26666666666666666,0.25925925925925924,0.22472222222222224
10,0.7583333333333333,0.7583333333333333,0.7579130434782608,0.8380555555555556
11,0.475,0.47500000000000003,0.47203016970458833,0.4447222222222223
12,0.8333333333333334,0.8333333333333334,0.8325892857142857,0.8930555555555555
13,0.55,0.55,0.5418552036199095,0.5972222222222222
14,0.35,0.35,0.3382352941176471,0.27305555555555555
15,0.7333333333333333,0.7333333333333334,0.7326649958228906,0.8061111111111111
16,0.5166666666666667,0.5166666666666666,0.5132867132867133,0.5647222222222221
17,0.7916666666666666,0.7916666666666667,0.7916521980693103,0.83
18,0.7416666666666667,0.7416666666666667,0.741505107358766,0.8105555555555556
19,0.35833333333333334,0.35833333333333334,0.3561424290990175,0.30972222222222223
20,0.475,0.475,0.474671669793621,0.45138888888888895
21,0.5666666666666667,0.5666666666666667,0.545322063538327,0.5586111111111112
22,0.4166666666666667,0.4166666666666667,0.4107744107744108,0.38611111111111107
23,0.6916666666666667,0.6916666666666667,0.6799077211448346,0.7238888888888889
24,0.3416666666666667,0.3416666666666667,0.3312169312169312,0.23722222222222222
25,0.7,0.7,0.6958603210363278,0.7513888888888889
26,0.55,0.5499999999999999,0.5343489508479448,0.5094444444444445
27,0.7166666666666667,0.7166666666666666,0.7165879410947485,0.7772222222222223
28,0.4,0.4,0.39849624060150374,0.3663888888888889
29,0.7,0.7,0.696969696969697,0.7797222222222222
30,0.825,0.825,0.8249878463782208,0.8844444444444445
31,0.7333333333333333,0.7333333333333334,0.7271952259164536,0.8080555555555555
32,0.375,0.375,0.3589286986252582,0.3116666666666667
33,0.4583333333333333,0.4583333333333333,0.45190077998735156,0.4411111111111111
34,0.5166666666666667,0.5166666666666667,0.5079185520361991,0.5544444444444444
35,0.475,0.475,0.46424774998228335,0.5294444444444444
36,0.4166666666666667,0.41666666666666663,0.4125874125874126,0.3919444444444445
37,0.375,0.375,0.36507936507936506,0.3225
38,0.4,0.4,0.3939393939393939,0.3433333333333333
39,0.5416666666666666,0.5416666666666666,0.5271867612293144,0.53
40,0.8,0.8,0.7991071428571428,0.8855555555555555
41,0.475,0.475,0.47496353913466216,0.45611111111111113
42,0.6416666666666667,0.6416666666666666,0.6386301561734016,0.7019444444444445
43,0.425,0.425,0.4132237261710722,0.37138888888888894
44,0.4583333333333333,0.4583333333333333,0.45190077998735156,0.4027777777777778
45,0.625,0.625,0.6228786926461345,0.6744444444444445
46,0.375,0.375,0.37460913070669166,0.35361111111111115
47,0.15833333333333333,0.15833333333333333,0.15545954985715282,0.0975
48,0.5666666666666667,0.5666666666666667,0.548611111111111,0.6197222222222223
49,0.6916666666666667,0.6916666666666667,0.6799077211448346,0.7244444444444444
