row,column,top_pixel,left_pixel,reference_sensitivity,compressed_sensitivity,difference_compressed_minus_reference
0,0,0,0,0.09632413031406568,0.03329960098183837,-0.06302452933222731
0,1,0,4,0.03550781392384937,0.02684060237224273,-0.00866721155160664
0,2,0,8,0.04258170031275408,0.09393546825149575,0.05135376793874167
0,3,0,12,0.2820645678273647,0.15247541424468,-0.12958915358268472
0,4,0,16,0.13422411648481178,0.08862934764771359,-0.04559476883709819
0,5,0,20,0.19806209801952196,0.03547282153557122,-0.16258927648395075
1,0,4,0,0.21538821954917176,0.13191066324786796,-0.0834775563013038
1,1,4,4,0.2230116910869313,0.1107790477271692,-0.1122326433597621
1,2,4,8,0.21753588786304714,0.03886325773670629,-0.17867263012634085
1,3,4,12,0.6097833583111171,0.035735602688970004,-0.574047755622147
1,4,4,16,0.06857507467318374,0.012245034636615677,-0.056330040036568066
1,5,4,20,0.02914275241734352,0.19371084251751808,0.16456809010017456
2,0,8,0,0.2995564365596361,0.11396796571616254,-0.18558847084347357
2,1,8,4,0.23230310301442295,0.057274043056252846,-0.17502905995817009
2,2,8,8,0.2676345252253801,0.1383103460169011,-0.12932417920847902
2,3,8,12,0.2183428298263236,0.02978408814434356,-0.18855874168198006
2,4,8,16,0.05618507877452665,0.16419379597533332,0.10800871720080667
2,5,8,20,0.14687712844494483,0.03072830660996847,-0.11614882183497635
3,0,12,0,0.06741508144443308,0.039318062022300516,-0.02809701942213256
3,1,12,4,0.22966790750709487,0.16073049931938613,-0.06893740818770874
3,2,12,8,0.05984980049879079,0.10943758187159522,0.04958778137280443
3,3,12,12,0.023354239177376942,0.08042920299711405,0.057074963819737104
3,4,12,16,0.0710143165896661,0.12882014309887807,0.05780582650921197
3,5,12,20,0.13488203996219192,0.16031046900379523,0.025428429041603307
4,0,16,0,0.03732221599746753,0.06713054651464567,0.02980833051717814
4,1,16,4,0.08007024372595647,0.2053083042196052,0.12523806049364872
4,2,16,8,0.3080221028405277,0.11126542032243764,-0.1967566825180901
4,3,16,12,0.3885972969114151,0.0805415719249656,-0.3080557249864495
4,4,16,16,0.6420191496316325,0.08765581136351915,-0.5543633382681133
4,5,16,20,0.45911131588130333,0.24044190720567984,-0.21866940867562348
5,0,20,0,0.055592222450721575,0.07803469552992176,0.022442473079200186
5,1,20,4,0.32220103988630755,0.02089144003053358,-0.301309599855774
5,2,20,8,0.3340260349464908,0.06585374908906072,-0.2681722858574301
5,3,20,12,0.06137800639658691,0.1341092262130445,0.07273121981645758
5,4,20,16,0.25538234361669265,0.029348707372826133,-0.22603363624386652
5,5,20,20,0.2244815685882599,0.08378042636480779,-0.14070114222345212
